X,Day of Week,Director,Genre,Movie Title,Release Date,Studio,Adjusted Gross ($mill),Budget ($mill),Gross ($mill),IMDb Rating,MovieLens Rating,Overseas ($mill),Overseas%,Profit ($mill),Profit%,Runtime (min),US ($mill),Gross % US
1,Friday,Brad Bird,action,Tomorrowland,22/05/2015,Buena Vista Studios,202.1,170,202.1,6.7,3.26,111.9,55.4,32,18.9,130,90.2,44.6
2,Friday,Scott Waugh,action,Need for Speed,14/03/2014,Buena Vista Studios,204.2,66,203.3,6.6,2.97,159.7,78.6,137,208,132,43.6,21.4
3,Friday,Patrick Hughes,action,The Expendables 3,15/08/2014,Lionsgate,207.1,100,206.2,6.1,2.93,166.9,80.9,106,106.2,126,39.3,19.1
4,Friday,"Phil Lord, Chris Miller",comedy,21 Jump Street,16/03/2012,Sony,208.8,42,201.6,7.2,3.62,63.1,31.3,160,380,109,138.4,68.7
5,Friday,Roland Emmerich,action,White House Down,28/06/2013,Sony,209.7,150,205.4,8,3.65,132.3,64.4,55,36.9,131,73.1,35.6
6,Friday,David Ayer,action,Fury,17/10/2014,Sony,212.8,80,211.8,5.8,2.85,126,59.5,132,164.8,134,85.8,40.5
7,Thursday,Rob Marshall,adventure,Into the Woods,25/12/2014,Buena Vista Studios,213.9,50,212.9,6,3.16,84.9,39.9,163,325.8,125,128,60.1
8,Friday,Daniel Espinosa,action,Safe House,10/2/2012,Universal,215.5,85,208.1,6.8,3.45,81.7,39.3,123,144.8,115,126.4,60.7
9,Friday,Gary Shore,action,Dracula Untold,10/10/2014,Universal,216.5,70,215.5,6.3,2.92,159.2,73.9,146,207.9,92,56.3,26.1
10,Friday,"Henry Joost, Ariel Schulman",horror,Paranormal Activity 3,21/10/2011,Paramount Pictures,218.8,5,207,5.9,2.9,103,49.8,202,4040,84,104,50.2
11,Friday,Eric Brevig,animation,Yogi Bear,17/12/2010,WB,219.9,80,201.6,4.5,2.17,101.3,50.3,122,152,80,100.2,49.7
12,Friday,Morten Tyldum,biography,The Imitation Game,28/11/2014,Weinstein Company,221,15,220,8.1,4,128.9,58.6,205,1366.7,114,91.1,41.4
13,Thursday,Bryan Singer,biography,Valkyrie,25/12/2008,UA Entertainment,221.2,75,200.3,7.1,3.44,117.2,58.5,125,167.1,121,83.1,41.5
14,Friday,Seth Gordon,comedy,Horrible Bosses,8/7/2011,WB/New Line,221.6,37,209.6,6.9,3.37,92.1,43.9,173,466.5,98,117.5,56.1
15,Friday,Ryan Murphy,drama,Eat Pray Love,13/08/2010,Sony,223.1,60,204.6,5.6,2.84,124,60.6,145,241,133,80.6,39.4
16,Friday,Paul Greengrass,drama,Captain Phillips,11/10/2013,Sony,223.4,55,218.8,7.9,3.84,111.7,51,164,297.8,134,107.1,49
17,Friday,Hayao Miyazaki,animation,Ponyo,14/08/2009,Buena Vista Studios,223.7,34,201.8,7.7,3.82,186.7,92.5,168,493.5,101,15.1,7.5
18,Friday,Jaume Collet-Serra,action,Non-Stop,28/02/2014,Universal,223.8,50,222.8,7,3.4,130.6,58.6,173,345.6,106,92.2,41.4
